,timestamp,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,5,10,15,20,25,30,35,40,45,50,55,ticker,120_before_vol,60_before_vol,30_before_vol,10_before_vol,5_before_vol,5_after_vol,10_after_vol,30_after_vol,60_after_vol,120_after_vol,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range,Cat10,Cat2
0,10/18/11 17:00,422.8876491,422.905214,422.7734133,422.61462,422.3887371,422.1409067,422.041408,422.061475,422.2775667,422.28735,422.038,403.23458,403.28129,403.0263733,402.31078,401.957476,401.6672633,401.3175286,401.0970125,401.0115489,400.941274,400.8903036,AAPL,1.205314298,1.03755302,0.57737799,0.368759486,0.333046543,1.128623335,0.797876402,1.549165712,1.457884967,2.734596182,0.157324,0.116574,0.128808,0.609343,0.222964,0,0,0.649518,0.48125,0.803079,0.797821,0.805696,0.768894,120_after,after
1,1/26/16 17:00,100.2250418,100.23787,100.2629667,100.2928375,100.34678,100.4063767,100.456048,100.516695,100.47826,100.4485,100.392,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.572056517,0.262053537,0.189981873,0.069243933,0.038340579,0,0,0,0,0,0.160727,0.131664,0.149316,0.608993,0.503678,0.706643,0,0.486052,0.477063,0.716117,0.793926,0.676473,0.645176,120_before,before
2,1/23/13 17:00,513.8384491,513.880214,513.9486622,513.9362475,513.8895686,513.8038333,513.7778,513.8073,513.9056667,513.9335,514.156,459.284,457.8976,456.09596,456.12729,456.626112,457.55041,458.1992086,458.7004325,458.8892733,459.026946,459.3431873,AAPL,2.026954412,0.505483798,0.393378565,0.352782983,0.116103402,1.482073716,1.971757772,3.240860147,3.319614684,2.806857215,0.130913,0.082237,0.100682,0.626429,0.238754,0.558772,0,0.079063,0.487331,0.92534,0.772834,0.689951,0.793277,60_after,after
3,4/23/14 17:00,528.7083145,528.731746,528.74494,528.7927075,528.8394686,528.87205,528.8951,528.922825,528.9737667,528.94602,528.88602,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.285014944,0.224163433,0.131164813,0.091427941,0.098123402,0,0,0,0,0,0.166039,0.123516,0.131314,0.585635,0.497395,0.72589,0,0.375311,0.443422,0.750249,0.796921,0.629654,0.678877,120_before,before
4,7/22/14 5:00,94.07924182,94.088812,94.09263556,94.0848425,94.07331714,94.07095667,94.072612,94.069215,94.06529333,94.07014,94.05948,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.087138683,0.052068265,0.017431297,0.017372852,0.015469228,0,0,0,0,0,0.13875,0.092883,0.102281,0.574541,0.531264,0.685576,0,0.389601,0.461851,0.584923,0.320448,0.143897,0.74069,120_before,before
5,1/27/14 17:00,550.2819273,550.115994,550.0168822,550.0291525,549.9523457,549.8399,549.74148,549.6284,549.5186,549.2799,548.8438,0,0,0,0,0,0,0,0,0,0,0,AAPL,1.438449435,0.911377842,0.532859647,0.519011978,0.244851383,0,0,0,0,0,0.169504,0.114163,0.140048,0.56894,0.501735,0.684668,0,0.120708,0.372185,0.687857,0.748271,0.604601,0.774592,120_before,before
6,1/31/17 17:00,121.1143818,121.11612,121.11548,121.109415,121.1106371,121.12041,121.139696,121.1617,121.15726,121.16739,121.16562,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.115895987,0.072112923,0.066953094,0.027650857,0.035513688,0,0,0,0,0,0.146649,0.11426,0.128416,0.623262,0.563667,0.662148,0,0.158698,0.501163,0.86321,0.799753,0.678468,0.847058,120_before,before
7,10/25/16 17:00,117.4801855,117.485004,117.4973267,117.5121725,117.5290543,117.5431133,117.549736,117.563925,117.59166,117.6078,117.636,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.085960771,0.083194808,0.060502726,0.040986583,0.035951356,0,0,0,0,0,0.160144,0.131863,0.128425,0.609699,0.470619,0.649245,0,0.015057,0.367198,0.749366,0.739907,0.702684,0.746187,120_before,before
8,10/20/14 17:00,99.28446182,99.270108,99.25434,99.2442575,99.22478286,99.21658333,99.206496,99.18737,99.19644667,99.25016,99.24594,0,0,0,0,0,0,0,0,0,0,0,AAPL,0.142675821,0.114777567,0.087086612,0.05677719,0.029813889,0,0,0,0,0,0.138737,0.115705,0.11934,0.600077,0.511133,0.614337,0,0.1273,0.287716,0.833081,0.457007,0.486265,0.723156,120_before,before
9,7/24/12 17:00,600.6152836,600.712242,600.8838689,601.0976025,601.3055143,601.4742667,601.5424,601.4065,601.0168,600.859,601.128,574.37766,576.63583,577.20522,577.208915,576.834732,576.4834433,576.13138,575.8643075,575.57934,575.441606,575.1735055,AAPL,0.896272286,1.117882831,0.750037375,0.359365181,0.149566039,3.249285818,3.22518683,2.226224343,2.295985484,2.343006309,0.161678,0.436479,0.149437,0.557021,0.505746,0,0,0.657686,0.36607,0.800671,0.561569,0.58302,0.797651,5_after,after
