,timestamp,120_before,60_before,30_before,10_before,5_before,5_after,10_after,30_after,60_after,120_after,ticker,Cat10,Cat2,year,quarter,date,time,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range
465,2013-06-20 17:00:00,0.092152811,0.06822207,0.060052065999999994,0.028869486,0.033078694,0.107259965,0.206534675,0.172026373,0.14337581300000002,0.132267653,ORCL,10_after,after,2013.0,4.0,6/20/2013,5:00 PM,0.152151,0.130939,0.136321,0.576747,0.5574020000000001,0.8761260000000001,0.0,0.624293,0.583592,0.7397199999999999,0.858081,0.8344239999999999,0.446912
466,2011-09-20 17:00:00,0.168399715,0.06719929599999999,0.056848478,0.035926197,0.026457513,0.193954118,0.137471169,0.094933285,0.07870639,0.09068933300000001,ORCL,5_after,after,2012.0,1.0,9/20/2011,5:00 PM,0.148769,0.119094,0.12964,0.550728,0.541543,0.824767,0.0,0.617498,0.592071,0.701194,0.828686,0.787618,0.570176
467,2014-06-19 17:00:00,0.056603947,0.06729067700000001,0.023356062,0.024272756,0.01396424,0.0,0.0,0.0,0.0,0.0,ORCL,60_before,before,2014.0,4.0,6/19/2014,5:00 PM,0.167629,0.12705999999999998,0.133638,0.584063,0.22969499999999998,0.863864,0.0,0.593078,0.646597,0.6638609999999999,0.8896799999999999,0.673836,0.619224
468,2011-12-20 17:00:00,0.053127152000000004,0.04737828,0.036029972,0.017288403,0.0083666,0.052630789000000004,0.107993055,0.11006953400000001,0.108144405,0.176425555,ORCL,120_after,after,2012.0,2.0,12/20/2011,5:00 PM,0.152953,0.12181199999999999,0.146473,0.5648449999999999,0.252216,0.809962,0.0,0.542964,0.5294989999999999,0.72526,0.752775,0.855656,0.46975600000000006
469,2012-12-18 17:00:00,0.052239669,0.03912571,0.049696002999999996,0.028562017999999998,0.029495762000000002,0.041291646,0.047472916,0.05178698599999999,0.054083224000000006,0.041186733999999996,ORCL,60_after,after,2013.0,2.0,12/18/2012,5:00 PM,0.14893,0.124047,0.15751600000000002,0.578774,0.238511,0.0,0.0,0.7252350000000001,0.6378699999999999,0.729956,0.8270129999999999,0.821342,0.590228
470,2015-12-16 17:00:00,0.050660862,0.056556435999999995,0.055193081,0.014529663,0.010368221,0.0,0.0,0.0,0.0,0.0,ORCL,60_before,before,2016.0,2.0,12/16/2015,5:00 PM,0.135948,0.111394,0.13195,0.5778979999999999,0.23750700000000002,0.835917,0.0,0.6454310000000001,0.612949,0.735731,0.9072479999999999,0.7545,0.613769
471,2013-03-20 17:00:00,0.044892931,0.027390812999999996,0.01751183,0.02017019,0.018054141,0.056978084000000005,0.065346911,0.070345525,0.18383743800000002,0.134485878,ORCL,60_after,after,2013.0,3.0,3/20/2013,5:00 PM,0.14868299999999998,0.09665900000000001,0.172733,0.572608,0.23646,0.8300059999999999,0.0,0.630861,0.617818,0.7739149999999999,0.8946459999999999,0.728686,0.6052890000000001
472,2013-01-29 10:00:00,0.15999929599999999,0.193480173,0.130660218,0.044008344000000005,0.031622777000000005,0.022210313,0.060056737,0.055898234000000005,0.06123913,0.119396225,PFE,60_before,before,2012.0,4.0,1/29/2013,10:00:00 AM,0.17698699999999998,0.137071,0.09496399999999999,0.5762229999999999,0.540984,0.705446,0.0,0.139482,0.50525,0.6872659999999999,0.5676800000000001,0.477199,0.5774819999999999
473,2011-11-01 10:00:00,0.11023602699999999,0.12493779099999999,0.159190282,0.0463406,0.050181192,0.027477263,0.037631748,0.043429551,0.08456983400000001,0.08066484,PFE,30_before,before,2011.0,3.0,11/1/2011,10:00:00 AM,0.16930599999999998,0.137531,0.12053699999999999,0.552445,0.262144,0.718902,0.0,0.09214,0.5678880000000001,0.813867,0.772389,0.78046,0.614024
474,2016-08-02 10:00:00,0.08350558799999999,0.053550827999999995,0.053019295999999994,0.01297382,0.009710201,0.0,0.0,0.0,0.0,0.0,PFE,120_before,before,2016.0,2.0,8/2/2016,10:00:00 AM,0.149081,0.15070899999999998,0.125879,0.550625,0.572712,0.640534,0.0,0.365274,0.563934,0.867999,0.802884,0.7645109999999999,0.5832729999999999
475,2012-01-31 10:00:00,0.080505551,0.093232016,0.054355797000000004,0.02835509,0.008786353,0.011672618000000001,0.020601836000000002,0.015586859,0.026126345,0.11646702099999999,PFE,120_after,after,2011.0,4.0,1/31/2012,10:00:00 AM,0.158378,0.134425,0.10956700000000001,0.55937,0.48743500000000006,0.623476,0.0,0.234602,0.5152479999999999,0.73434,0.770714,0.700599,0.480555
