ticker,timestamp,120_before_vol,60_before_vol,30_before_vol,10_before_vol,5_before_vol,5_after_vol,10_after_vol,30_after_vol,60_after_vol,120_after_vol,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range,Cat10,Cat2
AMAT,8/15/12 16:30,0.021302393,0.01836072,0.01251739,0.013515834,0.012942179,0.065421709,0.058805234,0.05337004,0.137969285,0.159433256,0.154015,0.137871,0.150381,0.572959,0.268346,0.710744,0,0.241865,0.610094,0.674628,0.878832,0.858577,0.533131,120_after,after
AMAT,11/12/15 16:30,0.05623335,0.05955377,0.036358528,0.028329404,0.027018512,0.010473777,0.007880355,0.016328976,0.016328976,0.016328976,0.174528,0.125984,0.124929,0.533256,0.257523,0.706797,0,0.222802,0.520358,0.817707,0.923681,0.824391,0.594752,60_before,before
AMAT,5/16/13 16:30,0.038821291,0.034967368,0.02050039,0.018708287,0.018165902,0.017451418,0.019148298,0.053402646,0.165219076,0.128663573,0.171625,0.122709,0.134533,0.554296,0.281568,0.609445,0,0.324809,0.366471,0.847486,0.820097,0.862434,0.626603,60_after,after
AMD,7/17/14 17:30,0.025745527,0.011315451,0.006854431,0.003920672,0.004159567,0,0,0,0,0,0.160598,0.115489,0.117424,0.588983,0.239259,0.74778,0.105866,0,0.416538,0.834695,0.719324,0.713353,0.631286,120_before,before
AMD,1/31/17 17:00,0.032032806,0.025319748,0.020734673,0.007851744,0.008234197,0,0,0,0,0,0.155621,0.117492,0.133249,0.555155,0.262997,0.723594,0,0.017394,0.549792,0.747041,0.810675,0.701886,0.588965,120_before,before
AMD,10/20/16 17:00,0.029314615,0.039727692,0.046303885,0.005310461,0.005025137,0,0,0,0,0,0.18059,0.456366,0.162285,0.531664,0.23455,0.795395,0.037769,0,0.50846,0.850893,0.809778,0.801742,0.648292,30_before,before
AMD,4/18/13 17:00,0.071901778,0.095350222,0.090657581,0.016646988,0.010954451,0.004975138,0.016379218,0.012377146,0.010042407,0.012231455,0.155577,0.105959,0.107458,0.594221,0.22698,0.745639,0,0.121244,0.393446,0.891604,0.757738,0.721079,0.701843,60_before,before
AMD,10/17/13 17:30,0.006083652,0.006930554,0.003922674,0.003320793,0.002381596,0,0,0,0,0,0.158068,0.047057,0.037601,0.30464,0.325192,0,0,0,0.25299,0.275421,0.543119,0.597517,0.313755,60_before,before
AMD,4/16/15 17:30,0.014379783,0.007315465,0.003074739,0.003333333,0.0041833,0,0,0,0,0,0.196757,0.097523,0.149825,0.59031,0.546861,0.807431,0,0.3258,0.496301,0.751137,0.751233,0.654098,0.604673,120_before,before
AMD,1/19/16 17:00,0.026523573,0.018705587,0.011548725,0.002581989,0.002236068,0,0,0,0,0,0.18457,0.101459,0.127634,0.553073,0.239969,0.629273,0,0.16818,0.455579,0.65614,0.607703,0.272814,0.635144,120_before,before
AMD,1/21/14 17:30,0.023124748,0.015670615,0.004253593,0.002890905,0.002703331,0,0,0,0,0,0.158951,0.104691,0.127605,0.541592,0.538162,0,0,0.605428,0.392301,0.833331,0.543274,0.342082,0.762155,120_before,before
AMD,7/21/16 17:00,0.018160164,0.015060928,0.01216242,0.008566141,0.005459121,0,0,0,0,0,0.190811,0.462893,0.141076,0.537408,0.225895,0.835611,0,0.001504,0.460292,0.824141,0.888388,0.871831,0.631184,120_before,before
AMD,4/21/16 17:00,0.035905706,0.0077531,0.005990199,0.004962179,0.00705351,0,0,0,0,0,0.185949,0.137452,0.14099,0.526089,0.246438,0.728717,0.025352,0,0.533856,0.844119,0.906593,0.907301,0.61857,120_before,before
AMD,10/16/14 17:30,0.018157448,0.022034386,0.009667983,0.002444972,0.002655184,0,0,0,0,0,0.170564,0.11017,0.118058,0.564253,0.217988,0.691553,0,0.049821,0.494647,0.738401,0.598145,0.281657,0.658182,60_before,before
AMD,7/19/12 17:00,0.060886138,0.017079383,0.014090226,0.006666667,0.0083666,0.018708287,0.043046352,0.087212676,0.087839031,0.08139346,0.159834,0.120217,0.137467,0.538965,0.280151,0.726749,0,0.023922,0.502557,0.8505,0.762157,0.870371,0.571477,60_after,after
AMD,1/24/12 17:00,0.05219173,0.040288345,0.037334702,0.027590757,0.033515668,0.051596512,0.045230139,0.083942133,0.112824561,0.105196126,0.188411,0.12586,0.142152,0.55343,0.27323,0.76373,0,0.049076,0.541708,0.831025,0.773406,0.845202,0.540935,60_after,after
AMD,10/15/15 17:00,0.007900728,0.006156005,0.004639224,0.002408527,0.002720662,0,0,0,0,0,0.167565,0.104415,0.14702,0.576185,0.230738,0.741203,0,0.001057,0.564878,0.810834,0.839572,0.768366,0.596969,120_before,before
AMD,4/19/12 17:00,0.057482094,0.04774905,0.04218051,0.011067972,0.004472136,0.02594128,0.034933309,0.059405631,0.042606638,0.035556245,0.144714,0.110271,0.123275,0.551681,0.259887,0.725774,0,0.124315,0.445482,0.768284,0.617028,0.512143,0.679613,30_after,after
AMD,4/17/14 17:30,0.010292493,0.008469428,0.006737949,0.003162278,0.002236068,0,0,0,0,0,0.180828,0.118608,0.138734,0.583378,0.288449,0.735327,0,0.166559,0.395787,0.829201,0.703518,0.683044,0.642281,120_before,before
AMD,1/20/15 17:30,0.04000447,0.01184498,0.003423967,0.002569241,0.002738613,0,0,0,0,0,0.19007,0.09408,0.122823,0.601602,0.223028,0.711555,0,0.069554,0.474909,0.736422,0.792468,0.550632,0.596471,120_before,before
AMD,10/18/12 17:00,0.031363667,0.027255548,0.013765302,0.018749841,0.020514678,0.00433728,0.004113717,0.02794092,0.045570043,0.084672793,0.165348,0.120296,0.15664,0.539218,0.245097,0,0,0.487519,0.482154,0.724079,0.772731,0.900972,0.424165,120_after,after
AMD,1/22/13 17:00,0.010718663,0.009909204,0.006926943,0.006588955,0.0041833,0.015811388,0.01313577,0.017158586,0.033292204,0.025761837,0.190289,0.107295,0.130776,0.512242,0.549056,0.747698,0,0.023799,0.416594,0.834799,0.542997,0.4254,0.750428,60_after,after
AMD,10/27/11 17:00,0.042835299,0.0376626,0.017529549,0.017256628,0.016623718,0.057473516,0.054956569,0.043056298,0.038141923,0.07568495,0.145515,0.113088,0.106278,0.578232,0.535164,0.673853,0,0.014675,0.411693,0.730408,0.60044,0.421684,0.643265,120_after,after
AMD,7/16/15 17:30,0.006675945,0.003411968,0.002421171,4.68E-16,2.48E-16,0,0,0,0,0,0.197124,0.128193,0.14759,0.551647,0.273552,0.76861,0.040913,0,0.50912,0.86654,0.89644,0.829332,0.666477,120_before,before
AMD,7/18/13 17:00,0.075766798,0.042061406,0.014642545,0.010022752,0.010606602,0.024083189,0.018794266,0.02750381,0.024230812,0.054705125,0.166294,0.109515,0.114596,0.555148,0.233402,0,0,0.665453,0.429705,0.825418,0.800359,0.848125,0.558521,120_before,before
BRCD,8/20/15 05:30,0.00894802,0.008034403,0.007495669,0.005986095,0.006708204,0,0,0,0,0,0.184862,0.131229,0.152915,0.553838,0.280266,0.721849,0,0.611795,0.521946,0.666239,0.922331,0.832761,0.505833,120_before,before
BRCD,5/19/16 05:30,0.017986227,0.015469665,0.011741486,0.007835106,0.007582875,0,0,0,0,0,0.163237,0.122088,0.129293,0.604888,0.220821,0.81726,0,0.571815,0.620674,0.512211,0.860442,0.584607,0.529544,120_before,before
BRCD,2/13/14 05:30,0.027425244,0.017062293,0.021429282,0.015678751,0.005477226,0,0,0,0,0,0.167101,0.121598,0.120633,0.62815,0.258282,0,0,0.677942,0.463741,0.700564,0.899989,0.796344,0.608769,120_before,before
